syllable,token,kanji_code,slot,rom_offset,verdict,source_document,source_table
설,80 3D,3D80,984,0x07B00,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
소,D0 3D,3DD0,989,0x07BA0,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
스,70 3F,3F70,1015,0x07EE0,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
시,C0 3F,3FC0,1020,0x07F80,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
신,D0 3F,3FD0,1021,0x07FA0,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
아,00 56,5600,1376,0x0AC00,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
악,00 58,5800,1408,0x0B000,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
야,00 6C,6C00,1728,0x0D800,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
에,40 9F,9F40,2548,0x13E80,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
오,B0 9F,9FB0,2555,0x13F60,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
와,E0 9F,9FE0,2558,0x13FC0,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
원,F0 D9,D9F0,3487,0x1B3E0,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
유,20 DE,DE20,3554,0x1BC40,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
음,60 DE,DE60,3558,0x1BCC0,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
이,90 DE,DE90,3561,0x1BD20,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
인,A0 DE,DEA0,3562,0x1BD40,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
자,00 DF,DF00,3568,0x1BE00,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
작,10 DF,DF10,3569,0x1BE20,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
제,F0 E3,E3F0,3647,0x1C7E0,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
즈,50 E6,E650,3685,0x1CCA0,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
진,30 E0,E030,3587,0x1C060,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
츠,70 E6,E670,3687,0x1CCE0,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
카,80 E6,E680,3688,0x1CD00,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
키,A0 E6,E6A0,3690,0x1CD40,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
타,20 E2,E220,3618,0x1C440,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
템,C0 E6,E6C0,3692,0x1CD80,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
토,D0 E6,E6D0,3693,0x1CDA0,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
편,F0 E2,E2F0,3631,0x1C5E0,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
프,10 E3,E310,3633,0x1C620,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
하,50 E3,E350,3637,0x1C6A0,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
협,10 E7,E710,3697,0x1CE20,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
획,20 E7,E720,3698,0x1CE40,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
효,30 E7,E730,3699,0x1CE60,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
히,60 E5,E560,3670,0x1CAC0,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
